"ID","Grade","Age","Gender","Programming","ProgramingExtent","DBN1","DBN2","DBN3","DBN4","DBN5","DBN6","DBN_Total","DBN_POMP","Test","Int1","Int2","Int3R","Int4R","Int5","Int6","Int7","Int_Mean","Val1","Val2","Val3","Val4","Val5","Val6","Val_Mean","Exp1","Exp2","Exp3","Exp4","Exp5","Exp_Mean","Int_Mean_1","Val_Mean_1","Exp_Mean_1","DBN_POMP_0","DBN_POMP_17","DBNandNoTest"
"1",1,"7",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",4,4,6,NA,1,1,1,2.8,4,3,2,2,1,1,2.2,4,5,2,4,7,4.4,2.8,2.2,4.4,NA,NA,"notest"
"2",2,"6",12,"1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"0",3,3,2,2,3,4,4,3,4,4,4,4,4,4,4,3,5,4,4,4,4,3,4,4,NA,NA,"notest"
"3",3,"6",11,"1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"0",3,3,3,1,3,2,3,2.6,2,2,2,2,3,1,2,3,3,2,3,3,2.8,2.6,2,2.8,NA,NA,"notest"
"4",4,"6",12,"1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"0",3,3,3,3,3,2,2,2.7,2,2,2,2,1,2,1.8,1,1,2,2,2,1.6,2.7,1.8,1.6,NA,NA,"notest"
"5",5,"6",12,"1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"0",7,1,4,1,1,1,1,2.3,1,1,1,1,1,1,1,4,1,4,1,4,2.8,2.3,1,2.8,NA,NA,"notest"
"6",6,"6",11,"1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"0",3,2,5,2,2,2,2,2.6,3,4,1,3,2,4,2.8,5,4,5,6,6,5.2,2.6,2.8,5.2,NA,NA,"notest"
"7",7,"6",11,"1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"0",2,1,6,3,1,2,1,2.3,1,1,1,1,2,2,1.3,1,1,1,1,1,1,2.3,1.3,1,NA,NA,"notest"
"8",8,"7",13,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"0",4,3,3,3,3,3,5,3.4,6,3,5,NA,4,2,4,7,7,7,7,4,6.4,3.4,4,6.4,NA,NA,"notest"
"9",9,"7",13,"1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"0",1,1,7,7,1,7,7,4.4,1,1,1,1,1,1,1,1,1,4,4,4,2.8,4.4,1,2.8,NA,NA,"notest"
"10",10,"7",12,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"0",1,2,7,NA,5,2,4,3.5,7,4,1,4,3,1,3.3,1,1,1,2,1,1.2,3.5,3.3,1.2,NA,NA,"notest"
"11",11,"6",12,"1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"0",7,1,2,1,2,1,1,2.1,1,1,2,1,2,1,1.3,1,1,1,1,1,1,2.1,1.3,1,NA,NA,"notest"
"12",12,"6",11,"1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"0",3,2,6,4,2,1,NA,3,1,2,2,1,2,1,1.5,2,1,1,3,1,1.6,3,1.5,1.6,NA,NA,"notest"
"13",13,"7",12,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"0",6,5,2,2,6,7,6,4.9,2,1,1,3,2,3,2,1,2,3,3,4,2.6,4.9,2,2.6,NA,NA,"notest"
"14",14,"7",15,"1","1","3",NA,NA,NA,NA,NA,NA,NA,NA,"0",6,4,3,2,4,3,3,3.6,4,NA,5,3,5,2,3.8,4,3,3,5,4,3.8,3.6,3.8,3.8,NA,NA,"notest"
"15",15,"6",12,"1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"0",1,1,7,7,1,1,1,2.7,4,1,1,5,2,3,2.7,1,2,1,1,2,1.4,2.7,2.7,1.4,NA,NA,"notest"
"16",16,"6",12,"0","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"0",4,4,2,2,3,4,3,3.1,4,1,1,3,3,4,2.7,NA,NA,NA,NA,NA,NA,3.1,2.7,3.686238532,NA,NA,"notest"
"17",17,"6",12,"1","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"0",4,4,2,2,4,4,5,3.6,4,2,3,2,1,1,2.2,4,3,4,4,2,3.4,3.6,2.2,3.4,NA,NA,"notest"
"18",18,"6",12,"0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"0",4,3,3,5,3,2,2,3.1,4,2,2,2,1,3,2.3,3,3,3,4,4,3.4,3.1,2.3,3.4,NA,NA,"notest"
"19",19,"6",11,"1","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"0",2,2,5,5,3,1,1,2.7,4,4,1,3,4,3,3.2,2,1,1,4,4,2.4,2.7,3.2,2.4,NA,NA,"notest"
"20",20,"6",12,"1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"0",1,1,7,7,1,1,1,2.7,7,5,4,2,2,3,3.8,7,4,5,5,3,4.8,2.7,3.8,4.8,NA,NA,"notest"
"21",21,"6",11,"0","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"0",6,5,3,3,6,6,6,5,3,1,1,1,1,1,1.3,6,4,6,5,5,5.2,5,1.3,5.2,NA,NA,"notest"
"22",22,"7",13,"1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"0",4,5,3,4,3,3,2,3.4,2,1,2,3,4,2,2.3,3,4,3,2,3,3,3.4,2.3,3,NA,NA,"notest"
"23",23,"6",12,"0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"0",6,5,2,2,6,7,4,4.6,6,4,4,5,5,5,4.8,6,6,7,7,7,6.6,4.6,4.8,6.6,NA,NA,"notest"
"24",24,"6",13,"0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"0",3,1,3,3,2,2,2,2.3,3,2,2,3,2,2,2.3,3,2,2,3,2,2.4,2.3,2.3,2.4,NA,NA,"notest"
"25",25,"6",12,"1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"0",1,1,1,7,1,1,1,1.9,1,1,1,1,1,1,1,4,4,1,4,1,2.8,1.9,1,2.8,NA,NA,"notest"
"26",26,"6",12,"1","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"0",4,7,3,3,6,1,1,3.6,7,1,1,7,6,5,4.5,1,1,4,4,5,3,3.6,4.5,3,NA,NA,"notest"
"27",27,"6",12,"1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"0",1,1,6,6,1,1,1,2.4,3,3,2,6,5,6,4.2,3,5,5,5,4,4.4,2.4,4.2,4.4,NA,NA,"notest"
"28",28,"7",14,"0","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"0",7,4,2,1,5,4,4,3.9,6,3,5,6,6,4,5,1,5,5,3,6,4,3.9,5,4,NA,NA,"notest"
"29",29,"7",13,"1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"0",4,4,5,3,4,5,4,4.1,6,7,6,7,5,7,6.3,4,4,6,6,6,5.2,4.1,6.3,5.2,NA,NA,"notest"
"30",30,"7",12,"0","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"0",4,3,4,5,4,3,4,3.9,7,3,4,4,4,4,4.3,4,2,4,4,4,3.6,3.9,4.3,3.6,NA,NA,"notest"
"31",31,"6",12,"0","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"0",4,5,3,5,3,5,4,4.1,4,1,2,1,2,1,1.8,3,3,3,4,4,3.4,4.1,1.8,3.4,NA,NA,"notest"
"32",32,"6",12,"0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"0",3,1,5,3,2,1,4,2.7,6,2,4,2,1,4,3.2,4,3,6,4,5,4.4,2.7,3.2,4.4,NA,NA,"notest"
"33",33,"6",12,"0","1","3",NA,NA,NA,NA,NA,NA,NA,NA,"0",4,4,4,3,4,3,2,3.4,2,1,2,1,1,1,1.3,4,2,2,4,3,3,3.4,1.3,3,NA,NA,"notest"
"34",34,"6",12,"0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"0",6,5,7,7,6,7,7,6.4,4,3,5,1,4,4,3.5,4,3,5,5,3,4,6.4,3.5,4,NA,NA,"notest"
"35",35,"6",13,"0","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"0",4,4,3,4,4,7,4,4.3,4,5,4,4,4,7,4.7,7,7,7,7,7,7,4.3,4.7,7,NA,NA,"notest"
"36",36,"6",12,"0","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"0",1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,7,1,2.2,1,1,2.2,NA,NA,"notest"
"37",37,"6",11,"0","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"0",6,6,2,2,5,4,3,4,7,1,2,3,4,5,3.7,5,7,7,6,7,6.4,4,3.7,6.4,NA,NA,"notest"
"38",38,"6",11,"0","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"0",3,3,6,5,3,4,2,3.7,3,3,1,1,1,2,1.8,4,2,2,2,2,2.4,3.7,1.8,2.4,NA,NA,"notest"
"39",39,"6",11,"0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"0",3,1,5,7,1,1,1,2.7,4,2,3,5,2,1,2.8,4,4,5,5,4,4.4,2.7,2.8,4.4,NA,NA,"notest"
"40",40,"6",12,"1","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"0",3,1,1,1,2,1,1,1.4,4,2,1,3,2,3,2.5,1,2,1,4,2,2,1.4,2.5,2,NA,NA,"notest"
"41",41,"6",11,"1","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"0",3,1,1,1,4,3,2,2.1,4,1,1,7,5,1,3.2,4,1,1,4,3,2.6,2.1,3.2,2.6,NA,NA,"notest"
"42",42,"6",12,"0","1","3",NA,NA,NA,NA,NA,NA,NA,NA,"0",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,6.6,7,7,6.6,NA,NA,"notest"
"43",43,"6",12,"1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"0",3,3,7,4,5,3,5,4.3,2,4,2,5,3,7,3.8,4,6,5,3,6,4.8,4.3,3.8,4.8,NA,NA,"notest"
"44",44,"7",14,"1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"0",3,3,7,7,3,3,7,4.7,3,3,1,3,1,3,2.3,3,7,3,5,3,4.2,4.7,2.3,4.2,NA,NA,"notest"
"45",45,"6",12,"0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"0",3,1,5,7,4,2,1,3.3,1,1,2,1,2,3,1.7,2,2,1,6,7,3.6,3.3,1.7,3.6,NA,NA,"notest"
"46",46,"6",12,"0","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"0",4,6,7,5,1,5,2,4.3,3,3,NA,5,5,4,4,3,2,4,4,3,3.2,4.3,4,3.2,NA,NA,"notest"
"47",47,"6",11,NA,"1","2",NA,NA,NA,NA,NA,NA,NA,NA,"0",5,7,7,7,5,6,4,5.9,3,5,4,5,7,6,5,5,3,5,4,5,4.4,5.9,5,4.4,NA,NA,"notest"
"48",48,"6",12,"0","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"0",1,1,1,7,1,1,1,1.9,1,1,7,1,1,1,2,7,5,7,7,1,5.4,1.9,2,5.4,NA,NA,"notest"
"49",49,"6",13,"0","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"0",7,5,3,3,7,4,7,5.1,4,7,1,1,1,1,2.5,1,NA,1,4,1,1.75,5.1,2.5,1.75,NA,NA,"notest"
"50",50,"6",12,"0","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"0",3,2,1,1,1,2,1,1.6,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1.6,3.204054054,1,NA,NA,"notest"
"51",51,"6",12,"0","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"0",4,4,6,6,4,7,4,5,4,4,4,4,4,3,3.8,7,7,7,7,7,7,5,3.8,7,NA,NA,"notest"
"52",52,"6",11,"0","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"0",6,5,5,5,5,4,4,4.9,7,5,NA,7,2,5,5.2,6,4,6,5,4,5,4.9,5.2,5,NA,NA,"notest"
"53",53,"6",11,"0","1","3",NA,NA,NA,NA,NA,NA,NA,NA,"0",7,7,7,7,7,7,7,7,6,5,7,6,6,6,6,7,6,7,7,6,6.6,7,6,6.6,NA,NA,"notest"
"54",54,"6",11,"0","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"0",7,4,6,7,5,5,5,5.6,2,6,5,7,6,7,5.5,7,6,6,4,3,5.2,5.6,5.5,5.2,NA,NA,"notest"
"55",55,"6",11,"1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"0",4,2,2,2,1,6,1,2.6,5,1,2,3,2,1,2.3,1,3,2,3,1,2,2.6,2.3,2,NA,NA,"notest"
"56",56,"6",12,"1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"0",5,1,5,6,6,2,1,3.7,2,1,4,7,3,2,3.2,7,2,4,3,3,3.8,3.7,3.2,3.8,NA,NA,"notest"
"57",57,"6",11,"0","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"0",3,5,4,4,6,5,3,4.3,2,5,3,4,3,3,3.3,3,1,5,7,5,4.2,4.3,3.3,4.2,NA,NA,"notest"
"58",58,"6",13,"0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"0",7,4,4,7,5,3,4,4.9,2,1,4,1,4,3,2.5,4,4,3,6,2,3.8,4.9,2.5,3.8,NA,NA,"notest"
"59",59,"6",11,"1","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"0",1,1,1,2,1,1,1,1.1,1,2,1,1,1,1,1.2,3,2,2,1,2,2,1.1,1.2,2,NA,NA,"notest"
"60",60,"8",13,"1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"0",7,7,7,7,6,6,4,6.3,4,6,5,7,6,6,5.7,4,6,6,6,6,5.6,6.3,5.7,5.6,NA,NA,"notest"
"61",61,"6",12,"1","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"0",3,5,7,7,6,4,7,5.6,3,5,6,4,2,5,4.2,5,2,7,3,6,4.6,5.6,4.2,4.6,NA,NA,"notest"
"62",62,"8",13,"1","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"0",3,2,3,3,2,1,1,2.1,5,NA,2,4,2,1,2.8,4,3,4,3,3,3.4,2.1,2.8,3.4,NA,NA,"notest"
"63",63,"8",13,"1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"0",2,2,2,2,2,2,2,2,5,4,4,4,3,4,4,2,1,4,3,2,2.4,2,4,2.4,NA,NA,"notest"
"64",64,"8",14,"1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"0",2,2,1,2,5,2,2,2.3,2,2,2,2,2,2,2,2,2,2,2,2,2,2.3,2,2,NA,NA,"notest"
"65",65,"8",15,"0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"0",6,4,7,7,5,6,5,5.7,7,4,5,4,4,5,4.8,7,4,7,7,4,5.8,5.7,4.8,5.8,NA,NA,"notest"
"66",66,"8",14,"1","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"0",6,7,6,7,5,7,7,6.4,7,5,5,7,2,7,5.5,5,3,4,4,4,4,6.4,5.5,4,NA,NA,"notest"
"67",67,"8",13,"0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"0",5,5,5,3,5,5,3,4.4,7,5,3,6,6,5,5.3,5,4,5,6,4,4.8,4.4,5.3,4.8,NA,NA,"notest"
"68",68,"8",14,"0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"0",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,"notest"
"69",69,"8",13,"0","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"0",4,4,5,5,3,3,3,3.9,3,2,2,1,1,1,1.7,5,5,6,6,6,5.6,3.9,1.7,5.6,NA,NA,"notest"
"70",70,"8",13,"0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"0",4,3,2,2,2,2,2,2.4,5,1,2,3,2,2,2.5,1,1,1,2,2,1.4,2.4,2.5,1.4,NA,NA,"notest"
"71",71,"8",14,"1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"0",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,4,4,6,NA,NA,"notest"
"72",72,"8",15,"1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"0",3,4,4,4,5,5,5,4.3,5,3,2,4,5,6,4.2,7,6,6,5,2,5.2,4.3,4.2,5.2,NA,NA,"notest"
"73",73,"8",13,"1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"0",2,1,1,1,1,1,1,1.1,4,5,1,4,1,3,3,4,2,6,4,3,3.8,1.1,3,3.8,NA,NA,"notest"
"74",74,"8",14,"1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"0",4,4,4,4,4,4,4,4,4,2,2,2,2,2,2.3,3,3,3,3,3,3,4,2.3,3,NA,NA,"notest"
"75",75,"8",15,"0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"0",4,2,2,4,2,3,1,2.6,5,1,1,2,1,2,2,3,1,2,2,4,2.4,2.6,2,2.4,NA,NA,"notest"
"76",76,"8",14,"0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"0",2,2,2,2,1,2,1,1.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1.7,1,1,NA,NA,"notest"
"77",77,"8",14,"0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"0",5,5,7,7,5,4,3,5.1,4,3,5,4,3,4,3.8,2,2,3,2,4,2.6,5.1,3.8,2.6,NA,NA,"notest"
"78",78,"8",13,"1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"0",5,6,6,6,5,6,5,5.6,6,6,6,6,5,6,5.8,5,6,6,6,6,5.8,5.6,5.8,5.8,NA,NA,"notest"
"79",79,"8",13,"0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"0",6,7,7,7,6,6,6,6.4,6,4,5,5,3,5,4.7,5,5,5,5,5,5,6.4,4.7,5,NA,NA,"notest"
"80",80,"8",14,"1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"0",3,3,1,1,1,7,5,3,5,7,6,4,3,4,4.8,3,7,6,5,4,5,3,4.8,5,NA,NA,"notest"
"81",81,"8",13,"0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"0",1,4,1,5,2,4,1,2.6,5,2,2,6,2,2,3.2,1,1,5,5,1,2.6,2.6,3.2,2.6,NA,NA,"notest"
"82",82,"8",13,"0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"0",1,1,1,1,1,1,1,1,2,1,1,1,1,1,1.2,7,7,7,7,7,7,1,1.2,7,NA,NA,"notest"
"83",83,"8",14,"0","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"0",4,4,4,4,4,6,1,3.9,4,4,4,4,5,4,4.2,6,5,7,4,4,5.2,3.9,4.2,5.2,NA,NA,"notest"
"84",84,"8",14,"0","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"0",4,3,7,3,4,3,5,4.1,3,5,6,3,2,7,4.3,3,5,3,4,5,4,4.1,4.3,4,NA,NA,"notest"
"85",85,"8",13,"0","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"0",1,1,1,NA,1,2,1,1.2,3,2,2,4,2,4,2.8,4,3,2,3,4,3.2,1.2,2.8,3.2,NA,NA,"notest"
"86",86,"8",13,"0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"0",1,1,7,1,1,1,2,2,1,1,1,2,1,1,1.2,2,1,1,1,1,1.2,2,1.2,1.2,NA,NA,"notest"
"87",87,"8",13,"1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"0",2,2,1,1,2,1,1,1.4,4,2,1,2,2,2,2.2,2,1,2,2,1,1.6,1.4,2.2,1.6,NA,NA,"notest"
"88",88,"8",14,"0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"0",1,1,6,7,1,3,1,2.9,1,1,1,1,1,1,1,1,1,1,1,1,1,2.9,1,1,NA,NA,"notest"
"89",89,"8",13,"0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"0",2,2,1,4,2,2,2,2.1,4,3,3,4,4,3,3.5,4,4,1,3,3,3,2.1,3.5,3,NA,NA,"notest"
"90",90,"8",14,"1","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"0",1,1,2,2,1,1,1,1.3,4,3,1,1,3,4,2.7,2,1,2,3,2,2,1.3,2.7,2,NA,NA,"notest"
"91",91,"8",13,"0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"0",3,3,1,2,2,2,2,2.1,5,1,2,1,2,1,2,7,1,2,3,2,3,2.1,2,3,NA,NA,"notest"
"92",92,"8",14,"0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"0",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,1,1,7,NA,NA,"notest"
"93",93,"8",13,"1","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"0",2,2,1,5,2,2,2,2.3,4,2,2,4,5,2,3.2,4,3,4,4,2,3.4,2.3,3.2,3.4,NA,NA,"notest"
"94",94,"8",13,"1","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"0",1,1,1,1,1,1,1,1,2,1,1,1,1,1,1.2,3,2,3,4,2,2.8,1,1.2,2.8,NA,NA,"notest"
"95",95,"8",13,"0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"0",7,7,7,7,7,7,7,7,6,7,7,7,6,6,6.5,7,7,7,7,6,6.8,7,6.5,6.8,NA,NA,"notest"
"96",96,"8",13,"0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"0",4,4,6,6,4,4,3,4.4,5,5,7,7,4,4,5.3,7,7,7,7,7,7,4.4,5.3,7,NA,NA,"notest"
"97",97,"8",13,"0","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"0",5,5,5,5,4,4,1,4.1,4,2,3,2,1,1,2.2,7,7,7,7,7,7,4.1,2.2,7,NA,NA,"notest"
"98",98,"8",14,"0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"0",4,4,4,4,3,3,2,3.4,1,1,1,1,1,1,7,7,7,7,7,7,7,3.4,7,7,NA,NA,"notest"
"99",99,"8",13,"0","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"0",7,3,NA,6,7,3,2,4.7,4,4,3,4,1,3,3.2,6,6,4,5,4,5,4.7,3.2,5,NA,NA,"notest"
"100",100,"8",13,"0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"0",5,5,7,7,5,6,4,5.6,6,5,3,6,4,4,4.7,5,4,5,6,4,4.8,5.6,4.7,4.8,NA,NA,"notest"
"101",101,"7",14,"0","0","0",0,0,0,0,0,0,0,0,"1",7,1,5,7,1,7,5,4.7,7,5,4,7,7,5,5.8,NA,NA,NA,NA,NA,NA,4.7,5.8,3.686238532,"0",0,"lowperformance"
"102",102,"7",13,"1","0","0",0,0,0,0,0,0,0,0,"1",5,4,3,3,5,7,7,4.9,6,6,5,6,7,7,6.2,5,6,6,7,7,6.2,4.9,6.2,6.2,"0",0,"lowperformance"
"103",103,"8",14,"0","0","0",NA,NA,NA,NA,NA,NA,0,0,"1",7,1,7,1,1,1,1,2.7,1,1,1,1,7,1,2,7,7,7,7,7,7,2.7,2,7,"0",0,"lowperformance"
