Grade,Age,Gender,Programming,Programing Extent,Father Ed.,Mother Ed.,Computer Home,Internet Home,DBN1,DBN2,DBN3,DBN4,DBN5,DBN6,DBN_Total,DBN_POMP,Int1,Int2,Int3R,Int4R,Int5,Int6,Int7,Int_Mean,Val1,Val2,Val3,Val4,Val5,Val6,Val_Mean,Exp1,Exp2,Exp3,Exp4,Exp5,Exp_Mean
6,12,F,Y,Some,,,Y,Y,,,,,,,0,0,3,5,7,7,6,4,7,5.6,3,5,6,4,2,5,4.2,5,2,7,3,6,4.6
8,13,F,Y,Some,College,College,Y,Y,,,,,,,0,0,3,2,3,3,2,1,1,2.1,5,,2,4,2,1,2.8,4,3,4,3,3,3.4
8,13,F,Y,A little bit,HS,RN,Y,Y,,,,,,,0,0,2,2,2,2,2,2,2,2.0,5,4,4,4,3,4,4.0,2,1,4,3,2,2.4
8,14,F,Y,A little bit,,,N,Y,,,,,,,0,0,2,2,1,2,5,2,2,2.3,2,2,2,2,2,2,2.0,2,2,2,2,2,2
8,15,M,Y,A lot,HS,College,Y,Y,,,,,,,0,0,6,4,7,7,5,6,5,5.7,7,4,5,4,4,5,4.8,7,4,7,7,4,5.8
8,14,F,Y,Some,HS,College,Y,Y,,,,,,,0,0,6,7,6,7,5,7,7,6.4,7,5,5,7,2,7,5.5,5,3,4,4,4,4
8,14,M,Y,A little bit,College,College,N,Y,,,,,,,0,0,1,1,1,1,1,1,1,1.0,1,1,1,1,1,1,1.0,2,1,1,2,1,1.4
8,14,M,Y,A little bit,College,College,N,N,,,,,,,0,0,1,1,1,1,1,1,1,1.0,1,1,1,1,1,1,1.0,1,1,1,1,1,1
8,13,M,Y,A little bit,HS,HS,Y,Y,,,,,,,0,0,5,5,5,3,5,5,3,4.4,7,5,3,6,6,5,5.3,5,4,5,6,4,4.8
8,14,M,Y,A little bit,HS,College,Y,Y,,,,,,,0,0,4,4,4,4,4,4,4,4.0,4,4,4,4,4,4,4.0,4,4,4,4,4,4
8,13,M,Y,Some,HS,HS,Y,Y,,,,,,,0,0,4,4,5,5,3,3,3,3.9,3,2,2,1,1,1,1.7,5,5,6,6,6,5.6
8,13,M,Y,A little bit,College,College,Y,Y,,,,,,,0,0,4,3,2,2,2,2,2,2.4,5,1,2,3,2,2,2.5,1,1,1,2,2,1.4
8,14,F,Y,A little bit,HS,MA,N,Y,,,,,,,0,0,4,4,4,4,4,4,4,4.0,4,4,4,4,4,4,4.0,6,6,6,6,6,6
8,15,F,Y,A little bit,HS,RN,Y,Y,,,,,,,0,0,3,4,4,4,5,5,5,4.3,5,3,2,4,5,6,4.2,7,6,6,5,2,5.2
8,13,F,Y,A little bit,,College,Y,Y,,,,,,,0,0,2,1,1,1,1,1,1,1.1,4,5,1,4,1,3,3.0,4,2,6,4,3,3.8
8,14,F,Y,A little bit,HS,MA,N,Y,,,,,,,0,0,4,4,4,4,4,4,4,4.0,4,2,2,2,2,2,2.3,3,3,3,3,3,3
8,15,M,Y,A little bit,College,College,Y,Y,,,,,,,0,0,4,2,2,4,2,3,1,2.6,5,1,1,2,1,2,2.0,3,1,2,2,4,2.4
8,14,M,Y,A little bit,College,College,Y,Y,,,,,,,0,0,2,2,2,2,1,2,1,1.7,1,1,1,1,1,1,1.0,1,1,1,1,1,1
8,14,M,Y,A little bit,HS ,College,Y,Y,,,,,,,0,0,5,5,7,7,5,4,3,5.1,4,3,5,4,3,4,3.8,2,2,3,2,4,2.6
8,13,F,Y,A lot,HS,College,,,,,,,,,0,0,5,6,6,6,5,6,5,5.6,6,6,6,6,5,6,5.8,5,6,6,6,6,5.8
8,13,M,Y,A little bit,College,College,Y,Y,,,,,,,0,0,6,7,7,7,6,6,6,6.4,6,4,5,5,3,5,4.7,5,5,5,5,5,5
8,14,F,Y,A little bit,College,College,N,Y,,,,,,,0,0,3,3,1,1,1,7,5,3.0,5,7,6,4,3,4,4.8,3,7,6,5,4,5
8,13,M,Y,A little bit,College,College,Y,Y,,,,,,,0,0,1,4,1,5,2,4,1,2.6,5,2,2,6,2,2,3.2,1,1,5,5,1,2.6
8,13,M,Y,A little bit,HS,,N,Y,,,,,,,0,0,1,1,1,1,1,1,1,1.0,2,1,1,1,1,1,1.2,7,7,7,7,7,7
8,14,M,Y,Some,,College,Y,Y,,,,,,,0,0,4,4,4,4,4,6,1,3.9,4,4,4,4,5,4,4.2,6,5,7,4,4,5.2
8,14,M,Y,Some,,,Y,Y,,,,,,,0,0,4,3,7,3,4,3,5,4.1,3,5,6,3,2,7,4.3,3,5,3,4,5,4
8,13,M,Y,Some,,,N,Y,,,,,,,0,0,1,1,1,,1,2,1,1.2,3,2,2,4,2,4,2.8,4,3,2,3,4,3.2
8,13,M,Y,A little bit,,College,N,Y,,,,,,,0,0,1,1,7,1,1,1,2,2.0,1,1,1,2,1,1,1.2,2,1,1,1,1,1.2
8,13,F,Y,A little bit,HS,College,Y,Y,,,,,,,0,0,2,2,1,1,2,1,1,1.4,4,2,1,2,2,2,2.2,2,1,2,2,1,1.6
8,14,M,Y,A little bit,College,HS,N,Y,,,,,,,0,0,1,1,6,7,1,3,1,2.9,1,1,1,1,1,1,1.0,1,1,1,1,1,1
8,13,M,Y,A little bit,College,College,Y,Y,,,,,,,0,0,2,2,1,4,2,2,2,2.1,4,3,3,4,4,3,3.5,4,4,1,3,3,3
8,14,M,N,,HS,College,Y,Y,,,,,,,0,0,7,1,7,1,1,1,1,2.7,1,1,1,1,7,1,2.0,7,7,7,7,7,7
8,14,F,Y,Some,,,Y,Y,,,,,,,0,0,1,1,2,2,1,1,1,1.3,4,3,1,1,3,4,2.7,2,1,2,3,2,2
8,14,F,Y,Some,HS,College,Y,Y,,,,,,,0,0,1,1,1,1,1,1,1,1.0,4,1,1,1,1,1,1.5,1,1,1,1,1,1
8,13,M,Y,A little bit,MA,,Y,Y,,,,,,,0,0,3,3,1,2,2,2,2,2.1,5,1,2,1,2,1,2.0,7,1,2,3,2,3
8,14,M,Y,Some,MA,,Y,Y,,,,,,,0,0,1,1,1,1,1,1,1,1.0,1,1,1,1,1,1,1.0,7,7,7,7,7,7
8,13,F,Y,A little bit,College,HS,N,Y,,,,,,,0,0,2,2,1,5,2,2,2,2.3,4,2,2,4,5,2,3.2,4,3,4,4,2,3.4
8,13,F,Y,A little bit,HS,OTC,Y,Y,,,,,,,0,0,1,1,1,1,1,1,1,1.0,2,1,1,1,1,1,1.2,3,2,3,4,2,2.8
8,13,M,Y,A lot,,College,Y,Y,,,,,,,0,0,7,7,7,7,7,7,7,7.0,6,7,7,7,6,6,6.5,7,7,7,7,6,6.8
8,13,M,Y,Some,College,College,Y,Y,,,,,,,0,0,4,4,6,6,4,4,3,4.4,5,5,7,7,4,4,5.3,7,7,7,7,7,7
8,13,M,Y,A little bit,College,College,Y,Y,,,,,,,0,0,5,5,5,5,4,4,1,4.1,4,2,3,2,1,1,2.2,7,7,7,7,7,7
8,14,M,Y,Some,College,College,Y,Y,,,,,,,0,0,4,4,4,4,3,3,2,3.4,1,1,1,1,1,1,7.0,7,7,7,7,7,7
8,13,M,Y,A little bit,College,College,Y,Y,,,,,,,0,0,7,3,,6,7,3,2,4.7,4,4,3,4,1,3,3.2,6,6,4,5,4,5
8,13,M,Y,Some,College,College,Y,Y,,,,,,,0,0,5,5,7,7,5,6,4,5.6,6,5,3,6,4,4,4.7,5,4,5,6,4,4.8
8,14,0,Y,3,,,Y,Y,0,0,0,1,0,0,1,17,7,7,1,1,7,7,6,5.1,7,7,7,7,6,7,6.8,,,,,,#DIV/0!
8,14,1,N,0,,,Y,Y,1,0,0,0,1,0,2,33,1,1,7,7,1,1,1,2.7,4,4,1,3,1,5,3.0,7,5,4,7,7,6
7,14,1,Y,1,,,Y,Y,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1.0,1,1,1,1,1,1,1.0,1,1,1,1,1,1
7,13,0,Y,1,,,Y,Y,0,0,0,0,0,0,0,0,1,1,7,7,1,1,1,2.7,1,1,1,1,1,1,1.0,1,1,1,1,1,1
8,14,0,N,2,,,Y,Y,0,0,1,0,0,0,1,17,2,2,6,5,3,2,2,3.1,2,2,3,3,2,2,2.3,6,5,4,2,1,3.6
7,13,0,N,1,,,Y,Y,0,0,0,0,0,0,0,0,2,2,6,5,3,2,2,3.1,2,2,2,2,2,2,2.0,2,2,2,2,2,2
7,13,0,Y,2,,,N,N,0,0,0,0,0,0,0,0,4,4,4,4,4,5,4,4.1,1,3,4,6,3,5,3.7,4,5,3,5,4,4.2
7,12,0,Y,1,,,Y,Y,1,1,0,0,1,0,3,50,4,3,6,6,2,4,4,4.1,4,4,3,3,4,3,3.5,2,2,2,3,4,2.6
7,13,0,Y,2,,,Y,Y,0,0,0,0,0,0,0,0,1,1,7,7,1,1,1,2.7,3,1,1,1,1,1,1.3,1,1,1,1,1,1
7,13,0,,1,,,Y,Y,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1.0,1,1,1,1,1,1,1.0,1,1,1,1,1,1
7,13,0,N,,,,Y,Y,0,0,0,0,0,0,0,0,3,2,1,2,2,1,2,1.9,2,3,2,2,2,2,2.2,7,3,5,3,2,4
8,14,0,N,,,,Y,Y,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2.0,3,1,3,3,3,3,2.7,2,2,3,3,2,2.4
7,13,0,N,1,,,Y,Y,1,0,0,0,0,0,1,17,7,4,7,4,1,4,4,4.4,4,7,7,5,4,7,5.7,6,6,4,7,5,5.6
7,13,0,N,1,,,Y,Y,0,0,0,0,0,0,0,0,4,3,5,4,3,4,5,4.0,5,4,4,5,4,4,4.3,5,5,5,5,4,4.8
8,14,0,Y,2,,,Y,Y,0,0,0,0,0,0,0,0,3,4,2,2,4,4,3,3.1,4,4,3,3,3,3,3.3,3,3,2,2,2,2.4
8,14,1,N,,,,Y,Y,0,1,1,0,0,0,2,33,1,1,1,1,1,1,1,1.0,4,3,3,3,3,3,3.2,1,1,1,1,1,1
8,13,1,N,,,,Y,Y,0,0,1,0,1,0,2,33,1,1,7,7,1,1,1,2.7,1,1,1,1,1,1,1.0,1,1,1,1,1,1
7,13,1,N,0,,,Y,Y,1,1,0,0,1,0,3,50,3,1,7,7,2,1,1,3.1,3,1,1,1,1,1,1.3,1,6,3,3,3,3.2
8,14,1,N,0,,,Y,Y,0,1,0,0,0,0,1,17,1,1,7,7,1,1,1,2.7,1,1,1,3,1,1,1.3,1,1,1,1,1,1
7,12,1,N,0,,,Y,Y,0,0,0,0,1,0,1,17,1,1,7,7,1,1,1,2.7,1,1,1,1,1,1,1.0,1,1,1,1,1,1
8,13,0,N,,,,Y,N,0,0,0,0,1,0,1,17,3,3,5,5,3,4,3,3.7,4,2,1,1,1,2,1.8,4,3,4,3,3,3.4
7,14,1,Y,2,,,Y,Y,0,0,0,0,0,0,0,0,2,1,2,4,1,5,3,2.6,6,7,7,7,7,5,6.5,1,1,5,5,1,2.6
8,14,1,N,,,,Y,N,0,0,0,0,0,0,0,0,3,2,6,6,1,4,1,3.3,1,7,3,7,7,4,4.8,3,7,7,7,7,6.2
8,13,1,N,,,,Y,Y,0,0,0,0,0,0,0,0,6,7,,,6,6,6,6.2,7,7,4,6,4,6,5.7,7,7,7,7,7,7
8,14,1,Y,1,,,Y,Y,0,1,0,0,0,0,1,17,4,2,4,5,6,5,,4.3,3,4,5,7,7,2,4.7,4,5,4,5,7,5
8,13,1,Y,2,,,Y,Y,0,0,0,0,0,0,0,0,3,2,6,4,3,3,2,3.3,4,4,3,4,5,4,4.0,2,1,3,4,1,2.2
8,14,0,Y,2,,,Y,Y,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1.0,1,1,1,1,1,1,1.0,1,1,1,1,1,1
8,13,0,N,1,,,Y,Y,0,0,0,0,0,0,0,0,2,3,7,2,1,1,1,2.4,2,1,1,1,1,1,1.2,5,4,4,4,4,4.2
8,15,0,Y,1,,,Y,Y,0,0,0,0,0,0,0,0,1,1,5,3,5,1,1,2.4,1,1,1,3,1,1,1.3,1,1,3,4,1,2
8,14,1,N,0,,,Y,Y,0,1,0,0,1,0,2,33,4,3,4,3,3,3,3,3.3,3,3,3,3,3,3,3.0,3,3,3,3,3,3
8,15,0,N,,,,Y,Y,0,1,1,1,1,1,5,83,7,6,1,1,4,7,7,4.7,5,6,4,5,4,5,4.8,5,5,6,7,6,5.8
8,14,0,N,,,,N,N,0,0,1,0,0,0,1,17,3,7,7,7,1,1,1,3.9,1,1,1,1,1,1,1.0,1,1,1,1,1,1
8,14,0,Y,,,,Y,Y,1,0,0,0,0,0,1,17,4,5,4,2,4,5,4,4.0,5,3,4,5,3,4,4.0,3,4,4,5,5,4.2
7,12,0,Y,1,,,Y,Y,0,0,0,0,0,0,0,0,1,2,7,7,6,4,4,4.4,4,4,4,4,2,4,3.7,,,,,,#DIV/0!
7,13,1,N,,,,Y,Y,0,1,0,0,0,0,1,17,1,1,7,7,1,1,1,2.7,4,1,1,1,1,1,1.5,1,1,4,4,4,2.8
7,13,1,N,,,,Y,Y,0,0,1,0,0,0,1,17,1,1,1,7,1,1,1,1.9,4,1,1,1,1,1,1.5,1,1,1,1,1,1
7,,,N,,,,Y,Y,1,0,0,0,0,0,1,17,1,1,7,7,1,1,1,2.7,1,1,1,1,1,1,1.0,2,1,1,2,1,1.4
7,13,0,N,1,,,Y,Y,0,0,1,0,0,0,1,17,4,3,7,7,1,2,1,3.6,1,2,1,1,1,4,1.7,1,2,1,1,1,1.2
7,13,1,N,1,,,Y,Y,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1.0,1,1,1,1,1,1,1.0,1,1,1,1,1,1
7,12,1,Y,1,,,Y,Y,1,0,0,0,0,0,1,17,5,4,5,3,,5,4,4.3,4,2,3,2,6,1,3.0,4,3,3,4,3,3.4
7,13,0,N,2,,,Y,Y,0,0,0,0,0,0,0,0,4,1,1,1,1,1,1,1.4,1,1,1,1,1,1,1.0,1,1,1,1,1,1
7,13,1,N,1,,,Y,Y,0,0,0,0,0,0,0,0,6,1,1,7,5,1,1,3.1,6,1,1,5,7,1,3.5,4,1,3,1,2,2.2
6,12,1,N,1,,,Y,Y,,,,,,,,,3,3,2,2,3,4,4,3.0,4,4,4,4,4,4,4.0,3,5,4,4,4,4
6,12,1,Y,1,,,Y,Y,,,,,,,,,1,1,7,7,1,1,1,2.7,4,1,1,5,2,3,2.7,1,2,1,1,2,1.4
6,11,1,N,1,,,Y,Y,,,,,,,,,3,3,3,1,3,2,3,2.6,2,2,2,2,3,1,2.0,3,3,2,3,3,2.8
6,12,0,Y,2,,,Y,Y,,,,,,,,,4,4,2,2,3,4,3,3.1,4,1,1,3,3,4,2.7,,,,,,#DIV/0!
6,12,1,N,1,,,N,N,,,,,,,,,3,3,3,3,3,2,2,2.7,2,2,2,2,1,2,1.8,1,1,2,2,2,1.6
6,12,1,N,,,,N,N,,,,,,,,,7,1,4,1,1,1,1,2.3,1,1,1,1,1,1,1.0,4,1,4,1,4,2.8
6,11,1,N,,,,Y,Y,,,,,,,,,3,2,5,2,2,2,2,2.6,3,4,1,3,2,4,2.8,5,4,5,6,6,5.2
6,12,1,Y,2,,,Y,Y,,,,,,,,,4,4,2,2,4,4,5,3.6,4,2,3,2,1,1,2.2,4,3,4,4,2,3.4
6,12,0,Y,1,,,Y,Y,,,,,,,,,4,3,3,5,3,2,2,3.1,4,2,2,2,1,3,2.3,3,3,3,4,4,3.4
6,11,1,Y,2,,,Y,Y,,,,,,,,,2,2,5,5,3,1,1,2.7,4,4,1,3,4,3,3.2,2,1,1,4,4,2.4
6,12,1,Y,1,,,Y,Y,,,,,,,,,1,1,7,7,1,1,1,2.7,7,5,4,2,2,3,3.8,7,4,5,5,3,4.8
6,11,0,Y,,,,N,Y,,,,,,,,,6,5,3,3,6,6,6,5.0,3,1,1,1,1,1,1.3,6,4,6,5,5,5.2
7,15,1,,3,,,Y,N,,,,,,,,,6,4,3,2,4,3,3,3.6,4,,5,3,5,2,3.8,4,3,3,5,4,3.8
6,12,1,Y,2,,,Y,Y,,,,,,,,,1,2,7,7,1,1,1,2.9,1,1,1,1,1,1,1.0,4,,1,2,2,2.25
6,11,0,N,,,,Y,Y,,,,,,,,,1,1,7,7,1,1,1,2.7,2,2,1,2,4,1,2.0,1,1,2,2,1,1.4
6,11,1,N,2,,,Y,Y,,,,,,,,,2,1,6,3,1,2,1,2.3,1,1,1,1,2,2,1.3,1,1,1,1,1,1
7,13,0,N,1,,,Y,Y,,,,,,,,,4,3,3,3,3,3,5,3.4,6,3,5,,4,2,4.0,7,7,7,7,4,6.4
7,13,1,N,,,,Y,Y,,,,,,,,,1,1,7,7,1,7,7,4.4,1,1,1,1,1,1,1.0,1,1,4,4,4,2.8
7,13,0,N,,,,Y,Y,,,,,,,,,1,1,7,7,1,1,1,2.7,1,1,1,1,1,1,1.0,3,1,3,3,3,2.6
7,13,1,Y,1,,,Y,Y,,,,,,,,,4,5,3,4,3,3,2,3.4,2,1,2,3,4,2,2.3,3,4,3,2,3,3
7,13,0,,,,,N,Y,,,,,,,,,4,4,6,,1,1,1,2.8,4,3,2,2,1,1,2.2,4,5,2,4,7,4.4
7,12,0,N,,,,Y,Y,,,,,,,,,1,2,7,,5,2,4,3.5,7,4,1,4,3,1,3.3,1,1,1,2,1,1.2
7,13,0,N,3,,,Y,Y,,,,,,,,,2,2,7,7,1,1,1,3.0,1,1,1,1,1,1,1.0,1,1,1,1,1,1
6,12,0,Y,1,,,Y,Y,,,,,,,,,6,5,2,2,6,7,4,4.6,6,4,4,5,5,5,4.8,6,6,7,7,7,6.6
6,12,1,N,1,,,Y,Y,,,,,,,,,7,1,2,1,2,1,1,2.1,1,1,2,1,2,1,1.3,1,1,1,1,1,1
6,12,1,N,,,,Y,Y,,,,,,,,,1,1,7,7,1,1,1,2.7,1,1,1,1,1,1,1.0,3,3,4,4,2,3.2
6,13,0,Y,1,,,Y,Y,,,,,,,,,3,1,3,3,2,2,2,2.3,3,2,2,3,2,2,2.3,3,2,2,3,2,2.4
6,12,1,Y,1,,,Y,Y,,,,,,,,,1,1,1,7,1,1,1,1.9,1,1,1,1,1,1,1.0,4,4,1,4,1,2.8
6,12,1,Y,2,,,Y,Y,,,,,,,,,4,7,3,3,6,1,1,3.6,7,1,1,7,6,5,4.5,1,1,4,4,5,3
6,11,1,N,1,,,Y,Y,,,,,,,,,3,2,6,4,2,1,,3.0,1,2,2,1,2,1,1.5,2,1,1,3,1,1.6
6,12,1,N,,,,Y,Y,,,,,,,,,1,,7,7,1,1,1,3.0,1,1,1,1,1,1,1.0,1,1,1,1,1,1
6,12,1,Y,1,,,Y,Y,,,,,,,,,1,1,6,6,1,1,1,2.4,3,3,2,6,5,6,4.2,3,5,5,5,4,4.4
7,12,0,N,,,,N,N,,,,,,,,,1,1,7,7,1,1,1,2.7,1,1,1,1,1,1,1.0,1,1,1,1,1,1
7,14,0,Y,2,,,Y,Y,,,,,,,,,7,4,2,1,5,4,4,3.9,6,3,5,6,6,4,5.0,1,5,5,3,6,4
7,12,0,N,,,,Y,Y,,,,,,,,,6,5,2,2,6,7,6,4.9,2,1,1,3,2,3,2.0,1,2,3,3,4,2.6
7,13,1,Y,1,,,N,N,,,,,,,,,4,4,5,3,4,5,4,4.1,6,7,6,7,5,7,6.3,4,4,6,6,6,5.2
7,12,0,Y,2,,,Y,Y,,,,,,,,,4,3,4,5,4,3,4,3.9,7,3,4,4,4,4,4.3,4,2,4,4,4,3.6
6,12,0,Y,2,,,Y,Y,,,,,,,,,4,5,3,5,3,5,4,4.1,4,1,2,1,2,1,1.8,3,3,3,4,4,3.4
6,12,0,Y,1,,,Y,Y,,,,,,,,,3,1,5,3,2,1,4,2.7,6,2,4,2,1,4,3.2,4,3,6,4,5,4.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,not reversed,,,,,,,,,,,,,,,,,,