,Grade,Age,Gender,Programming,ProgramingExtent,DBN1,DBN2,DBN3,DBN4,DBN5,DBN6,DBN_Total,DBN_POMP,Test,Int1,Int2,Int3R,Int4R,Int5,Int6,Int7,Int_Mean,Val1,Val2,Val3,Val4,Val5,Val6,Val_Mean,Exp1,Exp2,Exp3,Exp4,Exp5,Exp_Mean,Int_Mean_1,Val_Mean_1,Exp_Mean_1,DBN_POMP_0,DBN_POMP_17,DBNandNoTest,Int_Mean_1R
105,7,13,Female,0,0,0,0,0,0,0,0,0,1,1,5,4,3,3,5,7,7,4.9,6,6,5,6,7,7,6.2,5,6,6,7,7,6.2,4.9,6.2,6.2,0,0,1,5.6
106,8,14,Male,0,0,,,NA,NA,NA,NA,0,1,1,7,1,7,1,1,1,1,2.7,1,1,1,1,7,1,2,7,7,7,7,7,7,2.7,2,7,0,0,1,2.2
107,7,13,Male,0,0,0,0,0,0,0,0,0,1,1,2,2,6,5,3,2,2,3.1,2,2,2,2,2,2,2,2,2,2,2,2,2,3.1,2,2,0,0,1,2.2
108,7,13,Male,0,0,0,0,0,0,0,0,0,1,1,3,2,1,2,2,1,2,1.9,2,3,2,2,2,2,2.2,7,3,5,3,2,4,1.9,2.2,4,0,0,1,2
109,8,14,Male,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,3,1,3,3,3,3,2.7,2,2,3,3,2,2.4,2,2.7,2.4,0,0,1,2
110,7,13,Male,0,0,0,0,0,0,0,0,0,1,1,4,3,5,4,3,4,5,4,5,4,4,5,4,4,4.3,5,5,5,5,4,4.8,4,4.3,4.8,0,0,1,3.8
111,8,14,Female,0,0,0,0,0,0,0,0,0,1,1,3,2,6,6,1,4,1,3.3,1,7,3,7,7,4,4.8,3,7,7,7,7,6.2,3.3,4.8,6.2,0,0,1,2.2
112,8,13,Female,0,0,0,0,0,0,0,0,0,1,1,6,7,NA,NA,6,6,6,6.2,7,7,4,6,4,6,5.7,7,7,7,7,7,7,6.2,5.7,7,0,0,1,6.2
113,8,13,Male,0,0,0,0,0,0,0,0,0,1,1,2,3,7,2,1,1,1,2.4,2,1,1,1,1,1,1.2,5,4,4,4,4,4.2,2.4,1.2,4.2,0,0,1,1.6
114,7,13,Female,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
115,7,13,Male,0,0,0,0,0,0,0,0,0,1,1,4,1,1,1,1,1,1,1.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1.4,1,1,0,0,1,1.6
116,7,13,Female,0,0,0,0,0,0,0,0,0,1,1,6,1,1,7,5,1,1,3.1,6,1,1,5,7,1,3.5,4,1,3,1,2,2.2,3.1,3.5,2.2,0,0,1,2.8
117,6,13,Male,1,3,0,0,0,0,0,0,0,1,1,7,7,7,7,7,4,1,5.7,4,4,4,4,7,7,5,7,4,7,7,7,6.4,5.7,5,6.4,0,0,1,5.2
118,7,13,Female,1,1,0,0,0,0,0,0,0,1,1,1,1,7,7,1,1,1,2.7,1,1,1,1,1,1,1,1,1,1,1,1,1,2.7,1,1,0,0,1,1
119,7,13,Male,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
120,7,12,Male,1,1,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,3,5,2.8,3.53004484304933,3.20405405405405,2.8,0,0,1,NA
121,7,12,Male,1,1,0,0,0,0,0,0,0,1,1,5,4,5,6,5,7,5,5.3,1,1,1,1,1,1,1,3,3,4,5,5,4,5.3,1,4,0,0,1,5.2
122,7,12,Male,1,3,Y,Y,0,1,1,1,1,1,1,4,67,4,3,3,4,3,2,3,3.1,6,2,4,5,3,2,3.7,6,7,5,6,2,3,6,0,0,1,4
123,7,13,Male,1,2,Y,Y,1,0,1,1,1,1,1,4,67,6,6,6,6,6,6,6,6,5,4,5,5,3,4,4.3,5,5,4,5,6,3,5,0,0,1,5.6
124,7,13,Male,1,2,0,0,0,0,0,0,0,1,1,6,6,3,2,4,4,5,4.3,4,4,4,3,2,2,3.2,5,5,6,6,6,5.6,4.3,3.2,5.6,0,0,1,5
125,7,13,Female,1,1,0,0,0,0,0,0,0,1,1,2,1,NA,1,1,2,1,1.3,4,3,1,3,2,4,2.8,2,1,2,4,1,2,1.3,2.8,2,0,0,1,1.4
126,7,13,Female,1,1,0,0,0,0,0,0,0,1,1,3,3,7,7,3,3,3,4.1,3,3,3,3,7,7,4.3,7,3,7,7,7,6.2,4.1,4.3,6.2,0,0,1,3
127,7,13,Female,1,1,0,0,0,0,0,0,0,1,1,4,4,4,6,1,1,1,3,2,1,1,5,2,6,2.8,4,2,2,1,3,2.4,3,2.8,2.4,0,0,1,2.2
128,7,13,Female,1,1,0,0,0,0,0,0,0,1,1,3,3,2,2,3,4,2,2.7,4,3,2,3,1,3,2.7,6,5,5,6,2,4.8,2.7,2.7,4.8,0,0,1,3
129,7,12,Female,1,2,0,0,0,0,0,0,0,1,1,5,4,6,6,6,2,2,4.4,2,3,1,2,2,3,2.2,2,2,3,4,5,3.2,4.4,2.2,3.2,0,0,1,3.8
130,7,12,Male,1,1,0,0,0,0,0,0,0,1,1,4,7,7,7,7,7,7,6.6,7,4,4,7,7,4,5.5,7,4,7,7,4,5.8,6.6,5.5,5.8,0,0,1,6.4
131,7,12,Female,1,2,0,0,0,0,0,0,0,1,1,3,2,4,4,3,3,1,2.9,2,1,1,3,1,1,1.5,7,6,5,6,6,6,2.9,1.5,6,0,0,1,2.4
132,7,12,Female,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,6,7,1,1,1,4,3.3,2,1,1,1,1,1.2,1,3.3,1.2,0,0,1,1
133,6,12,Male,1,3,0,0,0,0,0,0,0,1,1,6,5,7,7,6,6,6,6.1,7,5,4,6,7,5,5.7,6,6,7,7,6,6.4,6.1,5.7,6.4,0,0,1,5.8
134,7,12,Female,1,2,0,0,0,0,0,0,0,1,1,4,4,4,5,5,4,4,4.3,4,3,3,5,4,4,3.8,3,3,4,6,4,4,4.3,3.8,4,0,0,1,4.2
135,7,12,Female,1,1,0,0,0,0,0,0,0,1,1,3,3,4,4,4,3,3,3.4,3,5,4,4,5,5,4.3,3,4,4,4,3,3.6,3.4,4.3,3.6,0,0,1,3.2
136,7,12,Female,1,1,0,0,0,0,0,0,0,1,1,5,4,6,6,5,4,3,4.7,4,3,4,5,5,4,4.2,3,5,7,5,6,5.2,4.7,4.2,5.2,0,0,1,4.2
137,6,12,Male,1,2,0,0,0,0,0,0,0,1,1,7,5,7,7,6,7,6,6.4,6,7,5,6,4,7,5.8,4,4,5,5,5,4.6,6.4,5.8,4.6,0,0,1,6.2
138,6,11,Female,1,1,0,0,0,0,0,0,0,1,1,2,2,2,4,4,4,1,2.7,4,4,4,3,3,1,3.2,4,4,4,4,4,4,2.7,3.2,4,0,0,1,2.6
139,7,14,Male,1,1,0,0,0,0,0,0,0,1,1,1,2,5,4,5,6,1,3.4,7,6,4,1,1,1,3.3,NA,NA,NA,NA,NA,NA,3.4,3.3,3.68623853211009,0,0,1,3
140,6,11,Female,1,1,Y,0,0,0,0,0,0,1,1,0,4,4,4,3,3,5,4,3.9,3,7,6,7,2,5,5,4,7,4,NA,5,4,5,5,0,0,1,3
141,6,11,Male,1,2,0,0,0,0,0,0,0,1,1,5,3,3,4,2,5,5,3.9,6,4,5,4,3,5,4.5,6,4,3,5,6,4.8,3.9,4.5,4.8,0,0,1,4
142,6,11,Male,1,1,0,0,0,0,0,0,0,1,1,7,6,2,4,5,6,3,4.7,4,6,3,5,5,7,5,7,7,7,7,7,7,4.7,5,7,0,0,1,5.4
143,6,11,Female,1,1,0,0,0,0,0,0,0,1,1,4,3,7,6,2,4,3,4.1,7,4,1,1,4,3,3.3,4,4,7,6,4,5,4.1,3.3,5,0,0,1,3.2
144,6,11,Male,1,2,0,0,0,0,0,0,0,1,1,4,3,3,4,3,4,4,3.6,2,1,2,2,1,2,1.7,3,3,3,3,3,3,3.6,1.7,3,0,0,1,3.6
145,6,11,Female,1,2,0,0,0,0,0,0,0,1,1,1,1,1,7,1,1,1,1.9,2,1,1,1,2,4,1.8,1,1,1,1,1,1,1.9,1.8,1,0,0,1,1
146,6,11,Male,1,1,Y,Y,1,0,1,0,0,1,1,2,33,2,1,3,6,1,1,1,2.1,2,4,2,2,1,2,2.2,2,1,3,2,1,1,2,0,0,1,3
147,7,14,Female,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
148,7,13,Male,1,1,0,0,0,0,0,0,0,1,1,1,1,7,7,1,1,1,2.7,1,1,1,1,1,1,1,1,1,1,1,1,1,2.7,1,1,0,0,1,1
149,7,13,Male,1,2,0,0,0,0,0,0,0,1,1,4,4,4,4,4,5,4,4.1,1,3,4,6,3,5,3.7,4,5,3,5,4,4.2,4.1,3.7,4.2,0,0,1,4.2
150,7,13,Male,1,2,0,0,0,0,0,0,0,1,1,1,1,7,7,1,1,1,2.7,3,1,1,1,1,1,1.3,1,1,1,1,1,1,2.7,1.3,1,0,0,1,1
151,8,14,Male,1,2,0,0,0,0,0,0,0,1,1,3,4,2,2,4,4,3,3.1,4,4,3,3,3,3,3.3,3,3,2,2,2,2.4,3.1,3.3,2.4,0,0,1,3.6
152,7,14,Female,1,2,0,0,0,0,0,0,0,1,1,2,1,2,4,1,5,3,2.6,6,7,7,7,7,5,6.5,1,1,5,5,1,2.6,2.6,6.5,2.6,0,0,1,2.4
153,8,13,Female,1,2,0,0,0,0,0,0,0,1,1,3,2,6,4,3,3,2,3.3,4,4,3,4,5,4,4,2,1,3,4,1,2.2,3.3,4,2.2,0,0,1,2.6
154,8,14,Male,1,2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
155,8,15,Male,1,1,0,0,0,0,0,0,0,1,1,1,1,5,3,5,1,1,2.4,1,1,1,3,1,1,1.3,1,1,3,4,1,2,2.4,1.3,2,0,0,1,1.8
156,7,12,Male,1,1,0,0,0,0,0,0,0,1,1,1,2,7,7,6,4,4,4.4,4,4,4,4,2,4,3.7,NA,NA,NA,NA,NA,NA,4.4,3.7,3.68623853211009,0,0,1,3.4
157,8,14,Male,0,0,0,0,1,0,0,0,1,2,1,2,2,6,5,3,2,2,3.1,2,2,3,3,2,2,2.3,6,5,4,2,1,3.6,3.1,2.3,3.6,1,0,2,2.2
158,7,13,Male,0,0,1,0,0,0,0,0,1,2,1,7,4,7,4,1,4,4,4.4,4,7,7,5,4,7,5.7,6,6,4,7,5,5.6,4.4,5.7,5.6,1,0,2,4
159,8,14,Female,0,0,0,1,0,0,0,0,1,2,1,1,1,7,7,1,1,1,2.7,1,1,1,3,1,1,1.3,1,1,1,1,1,1,2.7,1.3,1,1,0,2,1
160,7,12,Female,0,0,0,0,0,0,1,0,1,2,1,1,1,7,7,1,1,1,2.7,1,1,1,1,1,1,1,1,1,1,1,1,1,2.7,1,1,1,0,2,1
161,8,13,Male,0,0,0,0,0,0,1,0,1,2,1,3,3,5,5,3,4,3,3.7,4,2,1,1,1,2,1.8,4,3,4,3,3,3.4,3.7,1.8,3.4,1,0,2,3.2
162,8,14,Male,0,0,0,0,1,0,0,0,1,2,1,3,7,7,7,1,1,1,3.9,1,1,1,1,1,1,1,1,1,1,1,1,1,3.9,1,1,1,0,2,2.6
163,7,13,Female,0,0,0,1,0,0,0,0,1,2,1,1,1,7,7,1,1,1,2.7,4,1,1,1,1,1,1.5,1,1,4,4,4,2.8,2.7,1.5,2.8,1,0,2,1
164,7,13,Female,0,0,0,0,1,0,0,0,1,2,1,1,1,1,7,1,1,1,1.9,4,1,1,1,1,1,1.5,1,1,1,1,1,1,1.9,1.5,1,1,0,2,1
165,7,,NA,0,0,1,0,0,0,0,0,1,2,1,1,1,7,7,1,1,1,2.7,1,1,1,1,1,1,1,2,1,1,2,1,1.4,2.7,1,1.4,1,0,2,1
166,7,13,Male,0,0,0,0,1,0,0,0,1,2,1,4,3,7,7,1,2,1,3.6,1,2,1,1,1,4,1.7,1,2,1,1,1,1.2,3.6,1.7,1.2,1,0,2,2.2
167,7,13,Female,1,2,0,0,0,0,1,0,1,2,1,7,7,6,7,7,7,7,6.9,7,7,7,7,7,7,7,7,4,7,7,5,6,6.9,7,6,1,0,2,7
168,6,11,Female,1,2,0,1,0,0,0,0,1,2,1,3,3,3,2,2,2,2,2.4,2,1,2,3,1,1,1.7,2,3,3,2,1,2.2,2.4,1.7,2.2,1,0,2,2.4
169,7,13,Female,1,1,0,0,0,0,1,0,1,2,1,1,3,NA,1,4,1,1,1.8,4,1,1,3,7,1,2.8,1,3,6,7,7,4.8,1.8,2.8,4.8,1,0,2,2
170,7,13,Female,1,1,0,0,0,0,1,0,1,2,1,2,2,2,1,1,2,1,1.6,2,1,1,1,7,1,2.2,4,1,1,3,2,2.2,1.6,2.2,2.2,1,0,2,1.6
171,6,11,Male,1,2,0,1,0,0,0,0,1,2,1,4,3,4,2,3,5,4,3.6,5,4,5,6,3,3,4.3,3,3,2,4,3,3,3.6,4.3,3,1,0,2,3.8
172,6,11,Female,1,2,0,0,0,0,1,0,1,2,1,4,5,1,1,2,1,1,2.1,1,1,3,2,1,3,1.8,NA,NA,NA,NA,NA,NA,2.1,1.8,3.68623853211009,1,0,2,2.6
173,7,15,Female,1,1,0,0,0,0,1,0,1,2,1,2,3,1,1,1,1,1,1.4,1,4,1,1,1,1,1.5,1,1,1,1,1,1,1.4,1.5,1,1,0,2,1.6
174,6,12,Female,1,1,0,0,0,0,1,0,1,2,1,4,4,4,3,3,4,4,3.7,1,7,4,6,7,4,4.8,1,4,5,2,7,3.8,3.7,4.8,3.8,1,0,2,3.8
175,6,11,Female,1,3,0,0,0,0,1,0,1,2,1,1,1,7,7,1,1,1,2.7,1,1,1,1,1,1,1,7,6,7,7,7,6.8,2.7,1,6.8,1,0,2,1
176,6,11,Male,1,3,0,0,0,0,1,0,1,2,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,6.8,7,7,6.8,1,0,2,7
177,6,11,Male,1,2,0,0,1,0,0,0,1,2,1,1,1,1,1,1,1,1,1,4,1,1,3,1,2,2,1,1,1,2,1,1.2,1,2,1.2,1,0,2,1
178,6,12,Male,1,2,0,0,0,0,1,0,1,2,1,4,5,5,3,4,4,5,4.3,6,6,5,6,5,6,5.7,4,5,6,5,4,4.8,4.3,5.7,4.8,1,0,2,4.4
179,6,12,Male,1,2,0,0,1,0,0,0,1,2,1,1,1,1,1,2,1,1,1.1,1,1,1,1,1,1,1,1,1,2,1,1,1.2,1.1,1,1.2,1,0,2,1.2
180,8,14,Male,1,3,0,0,0,1,0,0,1,2,1,7,7,1,1,7,7,6,5.1,7,7,7,7,6,7,6.8,NA,NA,NA,NA,NA,NA,5.1,6.8,3.68623853211009,1,0,2,6.8
181,8,14,Female,1,1,0,1,0,0,0,0,1,2,1,4,2,4,5,6,5,NA,4.3,3,4,5,7,7,2,4.7,4,5,4,5,7,5,4.3,4.7,5,1,0,2,NA
182,8,14,Male,1,2,1,0,0,0,0,0,1,2,1,4,5,4,2,4,5,4,4,5,3,4,5,3,4,4,3,4,4,5,5,4.2,4,4,4.2,1,0,2,4.4
183,7,12,Female,1,1,1,0,0,0,0,0,1,2,1,5,4,5,3,NA,5,4,4.3,4,2,3,2,6,1,3,4,3,3,4,3,3.4,4.3,3,3.4,1,0,2,NA
184,7,13,Male,0,0,0,1,0,0,1,0,2,3,1,3,1,6,1,2,1,1,2.1,2,1,2,1,1,5,2,3,3,4,3,2,3,2.1,2,3,1,1,2,1.6
185,8,14,Female,0,0,1,0,0,0,1,0,2,3,1,1,1,7,7,1,1,1,2.7,4,4,1,3,1,5,3,7,5,4,7,7,6,2.7,3,6,1,1,2,1
186,8,14,Female,0,0,0,1,1,0,0,0,2,3,1,1,1,1,1,1,1,1,1,4,3,3,3,3,3,3.2,1,1,1,1,1,1,1,3.2,1,1,1,2,1
187,8,13,Female,0,0,0,0,1,0,1,0,2,3,1,1,1,7,7,1,1,1,2.7,1,1,1,1,1,1,1,1,1,1,1,1,1,2.7,1,1,1,1,2,1
188,8,14,Female,0,0,0,1,0,0,1,0,2,3,1,4,3,4,3,3,3,3,3.3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.3,3,3,1,1,2,3.2
189,7,12,Female,1,2,0,1,0,0,1,0,2,3,1,3,3,5,5,5,7,6,4.9,7,7,6,7,7,7,6.8,4,5,5,5,5,4.8,4.9,6.8,4.8,1,1,2,4.8
190,7,13,Male,1,1,1,1,0,0,0,0,2,3,1,3,2,2,3,2,2,3,2.4,2,1,2,2,3,4,2.3,5,4,3,4,3,3.8,2.4,2.3,3.8,1,1,2,2.4
191,7,12,Male,1,1,1,0,0,0,1,0,2,3,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,2,7
192,7,12,Female,1,2,1,0,0,0,1,0,2,3,1,7,7,7,7,7,6,7,6.9,6,6,6,6,3,6,5.5,7,6,4,6,5,5.6,6.9,5.5,5.6,1,1,2,6.8
193,6,11,Male,1,2,0,1,0,0,1,0,2,3,1,7,7,7,7,7,7,5,6.7,7,4,4,5,5,6,5.2,7,7,7,7,7,7,6.7,5.2,7,1,1,2,6.6
194,7,12 1/2,Male,1,2,0,0,1,0,1,0,2,3,1,3,6,4,5,4,3,5,4.3,2,2,2,1,2,1,1.7,5,6,5,4,7,5.4,4.3,1.7,5.4,1,1,2,4.2
195,6,11,Female,1,1,1,1,0,0,0,0,2,3,1,5,5,2,2,5,6,6,4.4,4,6,5,7,6,6,5.7,3,2,5,4,6,4,4.4,5.7,4,1,1,2,5.4
196,7,13,Male,1,1,0,0,1,0,1,0,2,3,1,3,4,2,3,4,4,4,3.4,3,3,3,3,4,4,3.3,4,3,3,3,1,2.8,3.4,3.3,2.8,1,1,2,3.8
197,7,13,Male,1,2,0,1,1,0,0,0,2,3,1,6,6,5,5,6,6,4,5.4,7,7,7,7,7,7,7,7,7,7,7,7,7,5.4,7,7,1,1,2,5.6
198,6,13,Male,1,2,1,1,0,0,0,0,2,3,1,7,7,7,7,7,7,7,7,5,7,7,7,7,7,6.7,2,2,3,7,7,4.2,7,6.7,4.2,1,1,2,7
199,6,11,Male,1,1,0,1,1,0,0,0,2,3,1,4,4,1,1,1,1,1,1.9,4,1,1,1,4,4,2.5,4,4,4,4,4,4,1.9,2.5,4,1,1,2,2.2
200,6,11,Female,1,1,0,1,0,0,1,0,2,3,1,1,1,7,1,1,1,1,1.9,1,1,1,1,2,3,1.5,1,1,1,1,1,1,1.9,1.5,1,1,1,2,1
201,7,13,Female,0,0,1,1,0,0,1,0,3,3,1,3,1,7,7,2,1,1,3.1,3,1,1,1,1,1,1.3,1,6,3,3,3,3.2,3.1,1.3,3.2,1,1,2,1.6
202,7,13,Male,1,1,1,1,0,0,1,0,3,3,1,5,4,5,4,5,2,3,4,5,5,4,4,3,4,4.2,4,2,1,1,1,1.8,4,4.2,1.8,1,1,2,3.8
203,7,13,Female,1,2,1,1,0,0,1,0,3,3,1,5,2,4,4,2,3,2,3.1,3,1,2,3,4,2,2.5,1,1,2,1,1,1.2,3.1,2.5,1.2,1,1,2,2.8
204,7,13,Female,1,1,1,1,0,0,1,0,3,3,1,3,3,3,5,3,2,2,3,5,2,3,4,3,2,3.2,2,4,2,4,2,2.8,3,3.2,2.8,1,1,2,2.6
205,6,11,Male,1,1,0,0,1,1,1,0,3,3,1,6,6,7,4,7,7,7,6.3,7,7,7,7,7,7,7,4,3,4,2,2,3,6.3,7,3,1,1,2,6.6
206,7,12,Male,1,1,1,1,0,0,1,0,3,3,1,7,7,1,1,7,7,7,5.3,7,7,7,7,7,7,7,7,7,7,7,7,7,5.3,7,7,1,1,2,7
207,7,12,Male,1,2,1,1,0,0,1,0,3,3,1,5,6,NA,NA,7,6,7,6.2,5,6,7,7,7,7,6.5,7,5,5,7,7,6.2,6.2,6.5,6.2,1,1,2,6.2
208,7,12,Female,1,1,1,1,0,0,1,0,3,3,1,6,4,6,4,4,3,4,4.4,2,3,2,1,1,2,1.8,3,2,2,1,2,2,4.4,1.8,2,1,1,2,4.2
209,6,11,Male,1,3,0,1,0,0,1,1,3,3,1,7,5,3,4,6,7,6,5.4,6,3,4,1,5,1,3.3,7,7,7,7,7,7,5.4,3.3,7,1,1,2,6.2
210,7,12,Male,1,1,1,1,0,0,1,0,3,3,1,4,3,6,6,2,4,4,4.1,4,4,3,3,4,3,3.5,2,2,2,3,4,2.6,4.1,3.5,2.6,1,1,2,3.4
211,7,12,Male,1,2,1,1,1,0,1,0,4,3,1,7,6,7,7,7,7,6,6.7,7,6,6,7,7,7,6.7,7,5,5,7,5,5.8,6.7,6.7,5.8,1,1,3,6.6
212,7,12,Male,1,2,1,0,0,1,1,1,4,3,1,6,4,6,5,6,7,7,5.9,5,4,1,5,3,6,4,4,3,5,6,5,4.6,5.9,4,4.6,1,1,3,6
213,7,12,Male,1,2,1,1,0,1,1,0,4,3,1,6,6,6,6,6,6,6,6,6,2,6,2,1,4,3.5,6,5,7,7,7,6.4,6,3.5,6.4,1,1,3,6
214,7,12,Male,1,1,0,1,1,1,1,0,4,3,1,6,6,6,7,6,7,7,6.4,7,7,7,7,2,7,6.2,7,6,7,7,7,6.8,6.4,6.2,6.8,1,1,3,6.4
215,6,12,Male,1,2,1,1,1,0,1,0,4,3,1,5,4,6,7,6,7,6,5.9,6,7,1,7,4,7,5.3,7,5,7,7,4,6,5.9,5.3,6,1,1,3,5.6
216,8,15,Male,0,0,0,1,1,1,1,1,5,3,1,7,6,1,1,4,7,7,4.7,5,6,4,5,4,5,4.8,5,5,6,7,6,5.8,4.7,4.8,5.8,1,1,3,6.2